QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,source,MisconceptionAName,MisconceptionBName,MisconceptionCName,MisconceptionDName,OriginalQuestionId
eedi_881,,Find the nth term rule for an ascending integer linear sequence,,Linear Sequences (nth term),B,Identify the \( n \)th term of the following linear sequence: ![\( \begin{array}{llllll}2 & 4 & 6 & 8 & 10 & \ldots\end{array} \)](),\( n + 1 \),\( 2n \),\( 3n - 1 \),\( 2n + 2 \),,,,,gpt-4o-mini,Underestimates the impact of multiplying by a constant factor,,Misinterprets the pattern as increasing by 3 instead of 2,Adds an incorrect constant to the term without recognizing the proper sequence,881
eedi_659,,Calculate the area of a regular polygon,,Area of Polygons,A,"Sarah and Mark are trying to find the area of a regular hexagon. Sarah claims it can be calculated using the formula \( \frac{3\sqrt{3}}{2} s^2 \), while Mark believes the area can be found using \( 6 \times \frac{1}{2} \times s \times h \), where \( h \) is the height. Who is correct?",Only Sarah,Only Mark,Both Sarah and Mark,Neither is correct,,,,,gpt-4o-mini,"Believes that Sarah's formula for the area of a regular hexagon is correct, but does not recognize the need for precise definitions of height and side lengths in the context.","Thinks Mark's formula is applicable for calculating the area of a hexagon, misunderstanding that it relies on choosing an appropriate height.",,,659
eedi_895,,Use the order of operations to carry out calculations involving brackets,,BIDMAS,B,"\[
12 \div 4 \times 3
\]
Lisa believes the calculation above can be simplified to \( \frac{12}{4 \times 3} \).
Mark maintains that the original expression can be rewritten as \( (12 \div 4) \times 3 \).
Who is correct?",Only Lisa,Only Mark,Both Lisa and Mark,Neither is correct,,,,,gpt-4o-mini,Misunderstands the order of operations and incorrectly applies brackets that change the intended calculation,Correctly applies the order of operations but might overlook the implications of combining division and multiplication differently,"Misunderstands the order of operations, thinking both interpretations can yield the same result","Incorrectly believes that division must always be performed before multiplication, not acknowledging their equal precedence",895
eedi_883,,"Solve three or more step linear equations, with the variable on one side, involving positive decimals",,Linear Equations,A,"Sarah is trying to simplify the equation:
\(\frac{3y}{4} + 2 = 5.5\)

James states that a correct next line of working could be: \(3y + 8 = 22\)

Emily states that a correct next line of working could be: \(\frac{3y}{4} = 3.5\)

Who is correct?","Only 
James","Only 
Emily",Both James and Emily,Neither is correct,,,,,gpt-4o-mini,Fails to recognize that 2 was added so it needs to be subtracted first before multiplying by 4.,Misunderstands the addition of 2 and believes it is applicable to the equation in its current state.,,"Does not understand that when solving for a variable, each operation must be handled in the correct order.",883
eedi_1808,,Write algebraic expressions with correct algebraic convention involving powers,,Dividing Terms,A,"Simplify, if possible: 
\(
x^{3} \div x^{2}
\)",\( x \),\( 5x \),\( x^{5} \),Does not simplify,,,,,gpt-4o-mini,,Adds the exponents incorrectly while dividing,Multiplies exponents instead of subtracting them,,1808
eedi_129,,Substitute positive integer values into expressions involving no powers or roots,,Substitution into Formula,B,"When \( x=12 \)
\(
\frac{x}{3}=
\)",\( 4 \),\( 6 \),\( 3 \),\( -4 \),,,,,gpt-4o-mini,Thinks that dividing by 3 results in subtraction instead of finding one-third of the value.,,Believes dividing by 3 takes the input down to a smaller number than it actually does.,Assumes that the division operation combined with a positive number leads to a negative result.,129
eedi_897,,"Given a positive x value, find the corresponding y value for curves in the form y = x² + c",,Plotting Quadratics from Tables of Values,C,"This is a part of the table of values for the equation 
\(
y = x^{2} + 5
\) \begin{tabular}{|l|l|}
\hline\( x \) & \( 4 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) \\
\hline
\end{tabular} What should replace the star?",\( 21 \),\( 9 \),\( 20 \),\( 25 \),,,,,gpt-4o-mini,Believes the constant 5 should be added to the square of 4 incorrectly by using incorrect operations.,Calculates \( 4^2 \) but forgets to add the constant 5.,"Correctly adds the constant and square, hence the right answer.",Incorrectly computes \( (4+5)^2 \) instead of applying the function directly.,897
eedi_667,,Convert decimals greater than 1 to percentages,,Converting between Decimals and Percentages,A,What is \( 7.25 \) expressed as a percentage?,\( 725 \% \),\( 72.5 \% \),\( 0.725 \% \),\( 7.025 \% \),,,,,gpt-4o-mini,"Thinks the decimal is multiplied by 100 and 1 is added, leading to an inflated percentage","Correctly multiplies the decimal by 100, but misplaces the decimal point",Divides the decimal by 100 instead of multiplying when converting to a percentage,Mistakenly thinks that just removing the decimal point gives the correct result for percentage,667
eedi_1820,,Identify corresponding angles,,Angle Facts with Parallel Lines,A,"If a transversal line crosses two parallel lines, which angle is corresponding to angle MXQ? ![A diagram showing two parallel lines labeled AB and CD with a transversal line EF cutting through them. The intersection points are marked as M on line AB and X on line CD. The angle MXQ is marked in blue.]()",QMB,MYE,MXY,EXC,,,,,gpt-4o-mini,Confuses corresponding and alternate angles,Confuses angle identification; may misinterpret the relationship,Confuses corresponding and vertically opposite angles,Confuses corresponding and co-interior angles,1820
eedi_101,,Express one quantity as a percentage of another mentally,,Percentages of an Amount,C,What is \( 15 \) out of \( 60 \) expressed as a percentage?,\( 25\% \),\( 20\% \),\( 30\% \),\( 40\% \),,,,,gpt-4o-mini,Assumes the calculation involves simply dividing \( 15 \) by \( 60 \) and rounding incorrectly,Assumes a simple incorrect method of calculating percentages by not simplifying fractions,Incorrectly multiplies the fraction by \( 2 \) instead of finding the percentage,Incorrectly applies the concept of percentages by assuming a larger numerator yields a higher percentage without proper calculation,101
eedi_1834,,Use inequality notation to order integers with the same number of digits,,Place Value,A,"Which symbol makes the following statement correct?
\[
5,432,100 \quad
 \square \quad
5,421,099
\]",\( > \),\( = \),\( < \),None of these,,,,,gpt-4o-mini,"Misunderstands that both numbers are compared from the highest place value, leading to a reversal in comparison",Believes the two numbers are the same based on an incorrect view of numerical equality,Incorrectly assumes the first number is smaller due to focusing only on the last few digits,Does not realize that both numbers can be directly compared with inequality notation,1834
eedi_115,,Write a given translation in vector notation,,Translation and Vectors,B,"A point at coordinates (2, -4) is translated 6 units to the left and 3 units up in vector notation. What should replace the \( \triangle \) in \( \left(\begin{array}{c}\triangle \\ \bigcirc\end{array}\right) \) for this translation?",\( 6 \),\( -6 \),\( 3 \),\( -3 \),,,,,gpt-4o-mini,Thinks that a positive number in a column vector indicates movement to the left rather than to the right.,,Thinks that the movement of the top number in a column vector is for horizontal translation rather than vertical translation.,Thinks that negative movement means moving in the positive direction instead of the correct negative direction.,115
eedi_673,,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",,Reflection,C,"A square is reflected in the dashed line. What are the new coordinates of point \( \mathrm{Q} \) ? ![A coordinate grid with the reflection line y=-x drawn and a square with the coordinates (1,1), (1,3), (3,1), and (3,3). Q is the point (1,3)]()","\( (-3,1) \)","\( (-1,-3) \)","\( (-3,-1) \)","\( (-1,3) \)",,,,,gpt-4o-mini,Misinterprets the reflection process resulting in inversion of points,"Confuses the coordinates when reflecting, leading to incorrect signs being assigned",Reflects one coordinate correctly but fails on the other coordinate,Changes the y-coordinate incorrectly without reflecting across the line,673
eedi_840,,"Solve two-step linear equations, with the variable on one side, with all positive integers",,Linear Equations,A,"Calculate the value of \(x\) in the equation:
\(
3(x + 4) = 21
\)

Sam claims a correct next step could be: \(x + 4 = 7\) 
Alex claims a correct next step could be: \(3x + 4 = 21\) 
Which statement is correct?",Only Sam,Only Alex,Both Sam and Alex,Neither is correct,,,,,gpt-4o-mini,"Incorrectly assumes division only applies to the entire equation, without addressing distribution.",Misunderstands the distributive property and assumes the coefficient applies to \(x\) only.,Assumes both statements are valid when one misapplies the properties of equations.,Ignores that operations should apply equally across the equation when simplifying.,840
eedi_698,,Calculate the probability of two independent events occurring without drawing a tree diagram,,Combined Events,C,"![A bag contains 3 red, 4 blue, and 5 green marbles.]() If you randomly select one marble from the bag and then replace it, what is the probability of drawing a red marble followed by a blue marble?",\( \frac{3}{12} \),\( \frac{1}{3} \),\( \frac{3}{16} \),\( \frac{4}{12} \),,,,,gpt-4o-mini,Incorrectly calculated the probability by not accounting for the total number of marbles when finding the probability of the second marble.,Misunderstands the multiplication of probabilities for independent events and uses the incorrect method for combining events.,Incorrectly calculates the overall probability by adding the probabilities instead of multiplying them.,Only considered the first draw when calculating the probability and did not factor in the second draw.,698
eedi_1161,,Calculate the area of a triangle where the dimensions are given in the same units,,Area of Simple Shapes,A,"What is the area of the triangle? ![A triangle with base 10cm and height 5cm, marked with a right angle at the base height]()",\( 25 \mathrm{~cm}^{2} \),\( 30 \mathrm{~cm}^{2} \),\( 50 \mathrm{~cm}^{2} \),\( 20 \mathrm{~cm}^{2} \),,,,,gpt-4o-mini,,Uses the base and height incorrectly by not halving the multiplication to find area,Calculates area as if it were a rectangle instead of a triangle,Mistakenly multiplies the base by the perimeter rather than half the base for the area,1161
eedi_1607,,"Solve two-step linear equations, with the variable on one side, with all positive integers",,Linear Equations,A,"Emily is solving the equation \( 24=\frac{3+m}{6} \). She follows these steps: Step \( 1: \) \( 144=3+m \)

Step \( 2: \) \( 141=m \) Which steps, if any, are correct?",Only step \( 1 \),Only step \( 2 \),Both steps are correct,Both steps are incorrect,,,,,gpt-4o-mini,Knows how to scale the equation correctly but does not simplify correctly afterwards.,Incorrectly assumes that the addition of \( 3 \) applies the same as direct substitution in the equation.,Fails to recognize that the second step does not logically follow from the first step correctly.,Does not understand how to deal with fractions and incorrectly simplifies the equation without proper operations.,1607
eedi_1613,,Recognise whether you need to add or subtract linear equations in order to eliminate a variable,,Simultaneous Equations,A,"Sarah and Mike are evaluating the following system of equations: Sarah asserts that to eliminate \( x \), they should subtract the equations given by 
\(\begin{array}{r}
2x + y = 10 \\
3x - y = 5
\end{array}\). Mike argues that they should add the equations to eliminate \( x \) instead. Who is correct?",Only Sarah,Only Mike,Both Sarah and Mike,Neither is correct,,,,,gpt-4o-mini,Does not understand that subtracting the equations correctly does not lead to eliminating \( x \) in this case.,Misunderstands that adding the equations directly leads to the elimination of \( x \) when it does not.,Fails to recognize that one of the methods is incorrect.,Believes that no method can successfully eliminate \( x \).,1613
eedi_854,,Identify prime numbers,,Prime Numbers,B,What is the smallest prime number greater than \( 20 ? \),\( 21 \),\( 23 \),\( 24 \),\( 22 \),,,,,gpt-4o-mini,Confuses composite numbers with prime numbers,,Believes any even number is prime,Mistakenly includes numbers divisible by 2 as primes,854
eedi_1175,,Convert from hours to minutes,,Time,A,A train travels for \( 2 \) hours and \( 45 \) minutes. Another train travels for \( 120 \) minutes. How much longer is the first train's journey compared to the second train's journey in minutes?,\( 45 \) minutes,\( 120 \) minutes,\( 225 \) minutes,\( 60 \) minutes,,,,,gpt-4o-mini,Converts the total time correctly but forgets to account for the full difference in journey times.,Miscalculates by assuming both journeys are identical in time without considering the conversion.,nans,Calculates an arbitrary difference that does not reflect the correct comparison.,1175
eedi_868,,Recognise and use efficient strategies for mental addition,,Mental Addition and Subtraction,B,Jamie wants to find the sum of \( 52 + 37 \) using a mental strategy. She calculates \( 52 + 30 = 82 \) and then adds \( 7 \) to get \( 82 + 7 = 89 \). How would she apply the same method to calculate \( 64 + 29 \)?,\( \begin{array}{c}64 + 20 = 84 \\ 84 + 9 = 93\end{array} \),\( \begin{array}{c}64 + 20 = 84 \\ 84 + 9 = 93\end{array} \),\( \begin{array}{c}60 + 20 = 80 \\ 4 + 9 = 13 \\ 80 + 13 = 93\end{array} \),\( \begin{array}{c}4 + 9 = 13 \\ 60 + 13 = 73 \\ 73 + 20 = 93\end{array} \),,,,,gpt-4o-mini,Does not follow the method of breaking down the addends appropriately.,,"Does not apply the mental strategy of first adding the tens, then the units.",Does not follow the method of breaking down the addends appropriately.,868
eedi_1149,,Recognise and name a formula,,Writing Expressions,C,"Which of the following represents the area of a triangle? \( A = \frac{1}{2} b h \) ![A triangle, with the dimensions labelled b and h]()",Equation,Expression,Formula,Variable,,,,,gpt-4o-mini,Confuses the definition of an area with an equation,Confuses a formula with an expression,,Confuses a variable or unknown with the formula representing area,1149
eedi_79,,Solve quadratic inequalities from the graph of the quadratic,,Solving Quadratic Inequalities,B,"Using the graph of
\(
y = -x^{2} + 4x - 3
\)

What is the correct way to write the solution to
\(
y = -x^{2} + 4x - 3 \leq 0 ?
\) ![The graph is a downward-opening parabola that crosses the x-axis at the points (1,0) and (3,0) and crosses the y-axis at (0, -3).]()",\( \{x \leq 1\} \cup\{x \geq 3\} \),\( \{1 \leq x \leq 3\} \),\( \{1 \geq x \geq 3\} \),\( \{x \geq 1\} \cup\{x \leq 3\} \),,,,,gpt-4o-mini,Believes that the regions outside the roots represent the non-positive parts of the original equation.,Assumes that the solution to a quadratic inequality is always found between the roots.,Thinks that inequalities can be combined into one expression that represents all numbers between the two boundaries.,"Mixes up the direction of inequalities, misinterpreting which sections of the graph correspond to the desired solution.",79
eedi_459,,Read values off a temperature-time graph,,Time Series and Line Graphs,D,"What was the temperature at 2:00 PM according to the graph? ![A line graph with title ""Temperature changes throughout the day."" 
The x-axis is titled ""Time"" and is labelled with times from 0800 to 2000 in steps of 2 hours. The y-axis is titled ""Temperature (°C)"" and the scale runs from 0 to 40°C. The following points are plotted and joined together: (0800, 10), (1000, 15), (1200, 25), (1400, 30), (1600, 35), (1800, 28), (2000, 20).       
]()",\( 25 \mathrm{~°C} \),\( 30 \mathrm{~°F} \),\( 35 \mathrm{~K} \),\( 28 \mathrm{~°C} \),,,,,gpt-4o-mini,Misreads the temperature value for the wrong time.,Mistakes Celsius for Fahrenheit when interpreting temperature graphs.,Confuses the Kelvin scale with Celsius and fails to convert appropriately.,,459
eedi_45,,"For a given algebraic input, find the output of a function machine",,Function Machines,D,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""3x - 4"" written inside it. The middle rectangle has ""✕ 3"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?",\( 9x - 4 \),\( 3x - 12 \),\( 3x - 1 \),\( 9x - 12 \),,,,,gpt-4o-mini,Only multiplies the first term in the expansion of a bracket,Misunderstands how constants affect the operation,Incorrectly modifies the algebraic expression instead of applying the multiplication properly,,45
eedi_303,,Calculate the surface area of a rectangular prism given its dimensions,,Surface Area of Prisms,D,"What is the total surface area of a rectangular prism with a height of 5cm, a width of 7cm, and a length of 9cm?",\( (5 \times 7) + (5 \times 9) + (7 \times 9) \),\( 5 \times 7 \times 9 \),\( (5 \times 7) \times (5 \times 9) \times (7 \times 9) \),\( 2 \times [(5 \times 7) + (5 \times 9) + (7 \times 9)] \),,,,,gpt-4o-mini,"When calculating surface area, only considers the area of one face",Calculates the volume instead of the surface area,Incorrectly attempts to multiply each pair of dimensions instead of adding their products,,303
eedi_465,,Recognise when an ascending sequence is quadratic,,Quadratic Sequences,D,"Jamie and Alex are analyzing number sequences.

Jamie claims the following is a quadratic sequence: \( 2, 4, 8, 14, 22, \ldots \)

Alex argues that this is a quadratic sequence: \( 1, 1, 2, 3, 5, 8, \ldots \)

Who is correct?",Only Jamie,Only Alex,Both Jamie and Alex,Neither is correct,,,,,gpt-4o-mini,Does not understand the term quadratic,Does not understand the nature of the Fibonacci sequence and its linearity,,,465
eedi_1388,,Identify the line of symmetry of curves in the form (x + a)(x + b),,Quadratic Graphs-Others,B,Consider the quadratic function \( y=(x-3)(x+5) \)![\( W \)]() What is the equation of the line of symmetry?,\( y=4 \),\( x=1 \),\( y=1 \),\( x=1 \),,,,,gpt-4o-mini,Confuses the concept of line of symmetry with the vertex's y-coordinate,Incorrectly calculates the average of the x-intercepts,Confuses the equations of vertical and horizontal lines,,1388
eedi_471,,Solve problems that combine addition and subtraction,,Combining Operations,A,"Liam buys a bicycle for \( £ 245 \) and a helmet for \( £ 30 \). 
He uses a \( £ 100 \) voucher and pays the rest in cash.

How much cash does he pay?",£175,£100,£295,£135,,,,,gpt-4o-mini,Calculates the total correctly but forgets to account for the voucher amount when determining cash paid.,Incorrectly assumes the total cost is just the voucher amount.,Miscalculates by adding the voucher to the total cost instead of subtracting it.,Misunderstands the need to add the costs of both items first before applying the voucher.,471
eedi_317,,Add decimals with the same number of decimal places,,Adding and Subtracting with Decimals,A,\( 3.47 + 1.29 = \),\( 4.76 \),\( 4.66 \),\( 5.00 \),\( 4.76 \),,,,,gpt-4o-mini,"When adding decimals, fails to align the decimal points properly",Incorrectly adds the tenths and hundredths without carrying over when necessary,Incorrectly assumes that adding two numbers results in a whole number without considering decimals,"When adding decimals, fails to align the decimal points properly",317
eedi_51,,Multiply 3 digit integers by 1 digit integers using the grid method,,Mental Multiplication and Division,B,\( 356 \times 4= \),\( 300+50+6 \),\( 1200+40+6 \),\( 1400+80+24 \),\( 1200+200+24 \),,,,,gpt-4o-mini,Misunderstands how to regroup and multiply multiple digits correctly when using the grid method.,"Incorrectly calculates the hundreds place, adding zeros rather than multiplying.",Miscalculates by combining incorrect breakdowns of the digits and failing to follow the multiplication process.,"Incorrectly sums the values of the components in the grid method, failing to multiply correctly.",51
eedi_1405,,Recognise the equations of horizontal lines from a diagram,,Horizontal and Vertical Lines,C,"What is the equation of this line? ![A graph showing a horizontal line going through a number on the y axis. The number is one box above -3, where there are 4 boxes between 0 and -3.]()",\( y=-2 \),\( x=3 \),\( y=-1 \),\( x=-1 \),,,,,gpt-4o-mini,Confuses the point on the y-axis with the relationship of x at that point,Incorrectly assumes that horizontal lines can be represented by an x-coordinate,Misinterprets the position of the line with respect to the y-axis,"Wraps up the line's equation incorrectly, mistaking x-coordinate related aspects",1405
eedi_1363,,Find the volume scale factor of similar shapes given the length scale factor,,"Length, Area and Volume Scale Factors",D,"![Two triangular prisms. Prism A has a base width of 4cm, and prism B has a base width of 12cm.]() Prism A and Prism B are similar.

What is the volume scale factor to get from Prism \( A \) to Prism \( B \) ?",\( \times 3 \),\( \times 6 \),\( \times 9 \),\( \times 27 \),,,,,gpt-4o-mini,Does not realize that the volume of similar 3D shapes is scaled by the cube of the scale factor of their corresponding lengths.,"Confuses the length scale factor with volume, failing to apply the cube correctly as the factor for volumes.","Incorrectly uses the linear scale factor instead of the volume scale factor, leading to misunderstanding the relationship between similar shapes' dimensions and their volumes.",,1363
eedi_1377,,Express pictorial representations of objects as a ratio,,Writing Ratios,C,What is the ratio of triangles to squares? ![A diagram showing 7 green triangles and 3 yellow squares](),\( 7: 3: 10 \),\( 3: 7 \),\( 7: 3 \),\( 7: 10 \),,,,,gpt-4o-mini,Thinks you need to include the total as well as the individual parts when asked to write a ratio,Mixes up sides of a ratio,,"When writing ratio from diagram, incorrectly interprets the ratio to include the total number of shapes",1377
eedi_1411,,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,,Sequences-Others,C,"What is the \( 5 \) th pattern in this sequence? ![Four consecutive patterns in a sequence. The first pattern is one blue triangle. The second pattern is three blue triangles arranged in a row. The third pattern is five blue triangles forming a zigzag line, and the fourth pattern is seven blue triangles forming a more complex zigzag structure.]()","![9 blue triangles arranged in a vertical line, forming two complete stacks of four triangles with one triangle on top.]()",![6 blue triangles arranged in a zigzag line with the two lowest triangles flipped upside down.](),"![11 blue triangles creating a complex zigzag line, with three additional triangles added to the bottom.]()",![10 blue triangles arranged in a more extended zigzag line than the previous patterns.](),,,,,gpt-4o-mini,Misinterprets the arrangement of triangles based on height rather than sequential addition.,Incorrectly assumes the zigzag formation alters the count rather than maintaining the previous pattern's structure.,,Does not grasp the incremental increase in the number of triangles in the sequence.,1411
eedi_1439,,Complete mental addition problems up to 1000,,Mental Addition and Subtraction,A,\( 47 + 35 = \),\( 82 \),\( 72 \),\( 84 \),\( 92 \),,,,,gpt-4o-mini,Correctly adds the ones place but forgets to add the carry to the tens place.,"Miscalculates the tens place, either by adding incorrectly or misaligning the numbers.",Incorrectly assumes both numbers add up to a higher total due to misremembering the base values.,Correctly combines digits but mistakenly adds an extra ten instead of carrying over.,1439
eedi_86,,Add proper fractions with the same denominator,,Adding and Subtracting Fractions,B,"Calculate:
\(
\frac{5}{9} + \frac{2}{9}
\)
Provide your answer in its simplest form.",\( \frac{7}{18} \),\( \frac{7}{9} \),\( \frac{2}{9} \),\( \frac{1}{3} \),,,,,gpt-4o-mini,Misunderstands that the denominator should remain the same when adding but miscalculates the sum of the numerators.,"Correctly adds the numerators, but doesn't simplify it properly if needed.",Fails to recognize that two fractions are being added and only restates one of the original fractions.,Converts the sum incorrectly to a different fraction without adding the two fractions first.,86
eedi_92,,Reduce a ratio involving two numbers to its simplest form,,Writing Ratios,A,"Simplify the following ratio to its simplest form:
\(
\frac{3}{5}: \frac{2}{5}
\)",\( 3: 2 \),\( 5: 3 \),\( 6: 10 \),\( 1: 2 \),,,,,gpt-4o-mini,,Incorrectly flips the ratio,Fails to simplify the ratio,Does not properly represent the ratio of the given fractions,92
eedi_539,,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",,Volume and Capacity Units,A,"A regular hexagon has a total perimeter of \( 30 \mathrm{~cm} \).
What is the length of each of its sides?",\( 5 \mathrm{~cm} \),\( 10 \mathrm{~cm} \),\( 15 \mathrm{~cm} \),Not enough information,,,,,gpt-4o-mini,,Incorrectly believes that each side length is equal to half the total perimeter,"Misunderstands the relationship between perimeter and side length, thinking that each side is a fraction of the perimeter instead of dividing by the number of sides",Does not understand the properties of a regular hexagon and how to calculate individual side lengths from its perimeter,539
eedi_277,,Solve a linear equation using a function machine,,Linear Equations,A,"Consider the function machine. ![An image of a function machine where the first operation is multiply by 2, and then the second operation adds 6. The output is 20. The second function machine shows that the input is 20, but both operations are blank.]() What are the correct operations to find the input of this function machine?
\(2x + 6 = 20\)",\( \begin{array}{l}\div 2 \\ -6\end{array} \),\( \begin{array}{l} -6 \\ \div 2\end{array} \),\( \begin{array}{r} +6 \\ \div 2\end{array} \),\( \begin{array}{l}-6 \\ \times 2\end{array} \),,,,,gpt-4o-mini,Does not reverse the correct order of operations when trying to isolate the variable,Does not apply the correct operations for reversing the operations that affect the input value,"Incorrectly suggests adding 6 before dividing, which does not isolate the variable correctly",Incorrectly multiplies instead of correctly dividing to isolate the variable from operations applied,277
eedi_511,,Add algebraic fractions where the denominators are single terms and are not multiples of each other,,Adding and Subtracting Algebraic Fractions,A,"Combine the following expression into a single fraction, simplifying your answer as much as possible: \( \frac{5x}{3y} - \frac{2y}{5x} \)",\( \frac{25x^2 - 6y^2}{15xy} \),\( \frac{3x - 10y}{15xy} \),\( \frac{5x - 2y}{3y} \),\( \frac{25x^2 - 6y^2}{15xy} \),,,,,gpt-4o-mini,"When subtracting fractions, misunderstands how to combine terms in the numerator properly.",Incorrectly believes that you can subtract the numerators directly without finding a common denominator.,Does not recognize that a simplification of the entire fraction is necessary and instead simplifies the components separately.,,511
eedi_505,,Convert fractions to ratios,,Writing Ratios,A,\( \frac{5}{8} \) of a class are girls. What would be a possible ratio of girls to boys?,\( 5: 3 \),\( 5: 8 \),\( 5: 2 \),\( 3: 5 \),,,,,gpt-4o-mini,Calculates the ratio correctly but fails to account for the total number of boys represented in the class.,"Uses the denominator for the number of girls directly, rather than considering how many boys are present.",Assumes the remainder of the class must total to 2 instead of calculating based on the remaining fraction after girls.,"Gets the order of the ratio wrong, representing boys first when girls are the larger group.",505
eedi_263,,Add proper fractions with different denominators which do not share a common factor,,Adding and Subtracting Fractions,A,"\(
\frac{5}{8} + \frac{1}{12} = \frac{\bigstar}{24}
\)
What should replace the star?",\( 11 \),\( 9 \),\( 8 \),\( 7 \),,,,,gpt-4o-mini,Forgets to simplify the fraction after finding a common denominator,Incorrectly adds the numerators without finding a common denominator,Forgets to find the correct equivalent fraction after adding,Miscalculates the total by adding the whole numbers instead of fractions,263
eedi_1571,,Determine if a given point lies on a line,,Plotting Lines from Tables of Values,D,"Emily and Sarah are debating whether the points \( (5, 0) \) and \( (0, -4) \) lie on the line \( 3x + 4y = 12 \).

Emily claims that \( (5, 0) \) lies on the line \( \mathbf{3 x}+\mathbf{4 y}=\mathbf{1 2} \).

Sarah argues that \( (0, -4) \) lies on the same line \( \mathbf{3} \boldsymbol{x}+\mathbf{4 y}=\mathbf{1 2} \).

Who is correct?",Only Emily,Only Sarah,Both Emily and Sarah,Neither is correct,,,,,gpt-4o-mini,"Incorrect substitution of the point coordinates into the equation, leading to an inaccurate conclusion about the point's validity.",Miscalculating the \( y \)-value by not properly evaluating the equation when \( x = 0 \).,"Misunderstanding that even if one point lies on the line, it doesn't mean both do.",Recognizing that both points do not satisfy the line's equation based on proper evaluation.,1571
eedi_288,,Substitute negative integer values into formulae involving powers or roots,,Substitution into Formula,B,"\(
V = 2^{n}
\)

What is the value of \( V \) when \( n=-3 \) ?",\( -\frac{1}{8} \),\( \frac{1}{8} \),\( 8 \),\( -2 \),,,,,gpt-4o-mini,Believes that a negative exponent results in a negative value,Correctly understands the calculation for a negative exponent but has miscalculated,Incorrectly thinks that raising a base number to a negative power means the result is the base raised to the positive power,Believes multiplying the base by the negative power gives the value,288
eedi_1217,,Add proper fractions with different denominators where one is a multiple of the other,,Adding and Subtracting Fractions,A,"\(
\frac{3}{4}+\frac{1}{2}=\frac{\bigstar}{4}
\)
What should replace the star?",\( 5 \),\( 6 \),\( 4 \),\( 7 \),,,,,gpt-4o-mini,Incorrectly adds the fractions without converting to the same denominator,Believes that you add the whole denominators,,Overestimates the total when adding fractions,1217
eedi_1203,,"Reflect an object or a point in a vertical line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",,Reflection,,"If you reflect the triangle in the vertical line, where does the marked vertex end up? ![Square paper with a blue triangle drawn, a mirror line and then the labels P, Q, R, and S. P is left of Q which is below R, and S is two spaces above R. The blue triangle has its top vertex highlighted with a green circle.]()",P,Q,R,S,,,,,gpt-4o-mini,Fails to reflect across mirror line,Fails to reflect across mirror line,,Reflects vertically but miscalculates distance,1203
eedi_1565,,Understand properties of angles in triangles,,"Basic Angle Facts (triangle, quadrilateral, etc)",B,The sum of the angles in a triangle is...,\( 90^{\circ} \),\( 180^{\circ} \),\( 360^{\circ} \),\( 270^{\circ} \),,,,,gpt-4o-mini,"Believes that the angles in a triangle add up to 90 degrees, possibly confusing with right angles.",,"Believes that the angles in a triangle add up to 360 degrees, confusing triangle angles with the angles around a point.","Believes that the angles in a triangle add up to 270 degrees, perhaps confusing with subtracting one from a full rotation.",1565
eedi_1559,,Identify similarity in triangles,,Similarity in Triangles,A,"Jamie and Alex are discussing similar triangles. Jamie claims these two triangles are similar ![Triangle ABC and Triangle DEF, where ABC has lengths 2, 4, and 6 and DEF has lengths 4, 8, and 12.]() Alex, however, believes these two triangles are similar ![Triangle GHI with lengths 3, 3, and 5 and Triangle JKL with lengths 6, 6, and 9.]() Who is correct?",Only Jamie,Only Alex,Both Jamie and Alex,Neither is correct,,,,,gpt-4o-mini,,"Thinks that all triangles with two equal sides are similar, regardless of the overall shape",Thinks that triangles can be similar even if the sides do not have proportional relationships,Does not understand that triangles are similar if their corresponding sides are in proportion,1559
eedi_5,,Identify a unit of area,,Area of Simple Shapes,B,"Sarah calculated the area of a rectangle and came up with a result of \( 100 \).

She wrote her answer like this:

\(
100 \, \bigstar 
\)

Which of the following units could be correct?",\( m \),\( \mathrm{cm}^{2} \),\( \mathrm{ft} \),\( \mathrm{km}^{2} \),,,,,gpt-4o-mini,Does not know units of area should be squared,,Does not know units of area should be squared,"Does not recognize that while \( \mathrm{km}^{2} \) is a unit of area, it is not appropriate for smaller areas like \( 100 \, \mathrm{cm}^{2} \)",5
